Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1658159","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","480345.55","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","58258.84","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5023","Transformés","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","4545.45","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2070000","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","665","Disponibilité alimentaire en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","g/personne/jour","100.13","X","Ciffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","1754562","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","487157.1","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","45029.11","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5023","Transformés","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","4545.45","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","2120000","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","665","Disponibilité alimentaire en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","g/personne/jour","101.3","X","Ciffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","1808207","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","459494.94","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","43549.11","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5023","Transformés","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","4767.55","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","2150000","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","665","Disponibilité alimentaire en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","g/personne/jour","101.41","X","Ciffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","1880000","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","398923.26","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","45619.27","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5023","Transformés","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","4762.76","E","Valeur estimée",""
