Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","004","Afghanistan","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 US$","46139","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","004","Afghanistan","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","13.81","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","004","Afghanistan","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 US$","31","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","710","Afrique du Sud","5609","Importations - Quantité","02151","Poulets","2017","2017","1000 têtes","397","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","7394","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5909","Exportations - Quantité","02151","Poulets","2017","2017","1000 têtes","6090","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5922","Exportations - Valeur","02151","Poulets","2017","2017","1000 US$","7992","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5609","Importations - Quantité","02151","Poulets","2018","2018","1000 têtes","476","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","02151","Poulets","2018","2018","1000 US$","8671","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5909","Exportations - Quantité","02151","Poulets","2018","2018","1000 têtes","6235","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5922","Exportations - Valeur","02151","Poulets","2018","2018","1000 US$","9671","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5609","Importations - Quantité","02151","Poulets","2019","2019","1000 têtes","522","I","Valeur imputée",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","02151","Poulets","2019","2019","1000 US$","9959","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5909","Exportations - Quantité","02151","Poulets","2019","2019","1000 têtes","6392","I","Valeur imputée",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5922","Exportations - Valeur","02151","Poulets","2019","2019","1000 US$","10117","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5609","Importations - Quantité","02151","Poulets","2020","2020","1000 têtes","431","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","02151","Poulets","2020","2020","1000 US$","11057","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5909","Exportations - Quantité","02151","Poulets","2020","2020","1000 têtes","10900","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5922","Exportations - Valeur","02151","Poulets","2020","2020","1000 US$","9447","A","Chiffre officiel",""
